displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
1.4330861,21.153578,21.256706,21.156902,21.307167,21.088123,20.829926,20.86657,20.987371,21.010752,21.119465
1.440111,21.159143,21.257193,21.157602,21.307952,21.0883,20.820676,20.868285,20.990281,21.011876,21.120051
1.447136,21.164316,21.257589,21.159925,21.308688,21.088517,20.817346,20.87018,20.993362,21.013049,21.120638
1.4541609,21.169171,21.257972,21.162118,21.309417,21.088739,20.815727,20.872249,20.996461,21.014268,21.121224
1.4611858,21.171572,21.258315,21.16401,21.310136,21.088972,20.824014,20.87448,20.99957,21.015596,21.121803
1.4682108,21.173657,21.258655,21.165382,21.310858,21.089201,20.833632,20.876782,21.002439,21.017044,21.122378
1.4752357,21.174985,21.258987,21.166222,21.311589,21.089422,20.846445,20.879231,21.004729,21.018616,21.122963
1.4822606,21.176081,21.259442,21.167155,21.312437,21.08959,20.860532,20.881704,21.006949,21.020346,21.12355
1.4892856,21.176933,21.260029,21.168128,21.313411,21.0897,20.875967,20.884238,21.009096,21.02215,21.124136
1.4963105,21.177687,21.261591,21.16918,21.315345,21.089803,20.89309,20.886765,21.010972,21.025276,21.124723
1.5033354,21.178395,21.263616,21.17024,21.317735,21.089903,20.911015,20.889277,21.01272,21.028594,21.125309
1.5103603,21.179017,21.264205,21.17128,21.319104,21.090012,20.92811,20.891711,21.014738,21.032035,21.12589
1.5173853,21.179616,21.264581,21.172399,21.320323,21.090122,20.944676,20.894056,21.016755,21.035893,21.126465
1.5244102,21.180069,21.264958,21.173738,21.321573,21.090222,20.955165,20.89619,21.01816,21.040916,21.126975
1.5314351,21.180469,21.265331,21.175213,21.323004,21.090319,20.964904,20.898215,21.019529,21.047084,21.127451
1.5384601,21.180713,21.265696,21.17685,21.324963,21.090407,20.972449,20.899881,21.02079,21.054619,21.12786
1.545485,21.180917,21.266041,21.17828,21.326743,21.090491,20.978195,20.901459,21.022383,21.061745,21.128264
1.5525099,21.181071,21.266362,21.179597,21.328303,21.090568,20.981713,20.902488,21.024385,21.068649,21.128773
1.5595349,21.181276,21.266662,21.181443,21.329538,21.090646,20.983485,20.903588,21.026473,21.074661,21.129316
1.5665598,21.181508,21.26695,21.183494,21.330589,21.090723,20.98427,20.904916,21.028608,21.080423,21.129969
1.5735847,21.181731,21.26721,21.188673,21.331594,21.0908,20.982655,20.906115,21.031093,21.083798,21.130688
1.5806097,21.181953,21.267463,21.193014,21.332591,21.090878,20.980463,20.907144,21.033633,21.086994,21.131496
1.5876346,21.182185,21.267662,21.194463,21.333631,21.090955,20.974532,20.907994,21.035514,21.089572,21.132407
1.5946595,21.182422,21.267861,21.195655,21.334637,21.091023,20.967879,20.908735,21.037302,21.091915,21.13338
1.6016845,21.182677,21.26806,21.196485,21.335523,21.091056,20.958596,20.909035,21.038751,21.093929,21.134498
1.6087094,21.18294,21.268305,21.197254,21.336263,21.091094,20.948216,20.909232,21.040309,21.095693,21.13565
1.6157343,21.183217,21.268614,21.197984,21.336794,21.091138,20.936245,20.909033,21.042024,21.097297,21.136955
1.6227593,21.183507,21.268964,21.198608,21.337292,21.091176,20.922839,20.908777,21.044058,21.098042,21.138886
1.6297842,21.183806,21.26934,21.199205,21.337768,21.091209,20.908478,20.90829,21.046304,21.098573,21.143345
1.6368091,21.184078,21.269751,21.199671,21.338191,21.091242,20.892206,20.907838,21.048488,21.098852,21.148426
1.6438341,21.184344,21.270172,21.200066,21.338601,21.091276,20.875433,20.907439,21.050657,21.099116,21.154478
1.650859,21.184587,21.27093,21.200155,21.339021,21.091309,20.864039,20.907698,21.052597,21.099326,21.159022
