displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
3.2525434,,,,
3.2595684,,,,
3.2665933,,,,
3.2736182,,,,
3.2806432,,,,
3.2876681,,,,
3.294693,,,,
3.301718,,,,
3.3087429,,,,
3.3157678,,,,
3.3227928,,,,
3.3298177,,,,
3.3368426,,,,
3.3438676,,,,
3.3508925,,,,
3.3579174,,,,
3.3649424,,,,
3.3719673,,,,
3.3789922,,,,
3.3860172,,,,
3.3930421,,,,
3.400067,,,,
3.4070919,,,,
3.4141169,,,,
3.4211418,,,,
3.4281667,,,,
3.4351917,,,,
3.4422166,,,,
3.4492415,,,,
3.4562665,,,,
3.4632914,,,,
3.4703163,,,,
3.4773413,,,,
3.4843662,,,,
3.4913911,,,,
3.4984161,,,,
3.505441,,,,
3.5124659,,,,
3.5194909,,,,
3.5265158,,,,
3.5335407,,,,
3.5405657,,,,
3.5475906,,,,
3.5546155,,,,
3.5616404,,,,
3.5686654,,,,
3.5756903,,,,
3.5827152,,,,
3.5897402,,,,
3.5967651,,,,
3.60379,,,,
3.610815,,,,
3.6178399,,,,
3.6248648,,,,
3.6318898,,,,
3.6389147,,,,
3.6459396,,,,
3.6529646,,,,
3.6599895,,,,
3.6670144,,,,
3.6740394,,,,
3.6810643,,,,
3.6880892,,,,
3.6951142,,,,
3.7021391,,,,
3.709164,,,,
3.716189,,,,
3.7232139,,,,
3.7302388,,,,
3.7372637,,,,
3.7442887,,,,
3.7513136,,,,
3.7583385,,,,
3.7653635,,,,
3.7723884,,,,
3.7794133,,,,
3.7864383,,,,
3.7934632,,,,
3.8004881,,,,
3.8075131,,,,
3.814538,,,,
3.8215629,,,,
3.8285879,,,,
3.8356128,,,,
3.8426377,,,,
3.8496627,,,,
3.8566876,,,,
3.8637125,,,,
3.8707375,,,,
3.8777624,,,,
3.8847873,,,,
3.8918122,,,,
3.8988372,,,,
3.9058621,,,,
3.912887,,,,
3.919912,,,,
3.9269369,,,,
3.9339618,,,,
3.9409868,,,,
3.9480117,,,,
3.9550366,,,,
3.9620616,,,,
3.9690865,,,,
3.9761114,,,,
3.9831364,,,,
3.9901613,,,,
3.9971862,,,,
4.0042112,,,,
4.0112361,,,,
4.018261,,,,
4.025286,,,,
4.0323109,,,,
4.0393358,,,,
4.0463607,,,,
4.0533857,,,,
4.0604106,,,,
4.0674355,,,,
4.0744605,,,,
4.0814854,,,,
4.0885103,,,,
4.0955353,,,,
4.1025602,,,,
4.1095851,,,,
4.1166101,,,,
4.123635,,,,
4.1306599,,,,
4.1376849,,,,
4.1447098,,,,
4.1517347,,,,
4.1587597,,,,
4.1657846,,,,
4.1728095,,,,
4.1798345,,,,
4.1868594,,,,
4.1938843,,,,
4.2009092,,,,
4.2079342,,,,
